Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.2625,-126.825,0.0,top
C10,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.9,-106.5,90.0,top
C11,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,126.78,-125.55,0.0,bottom
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,130.1,-106.6,90.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.5,-106.562501,90.0,top
C14,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.07,-101.98,315.0,bottom
C15,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.8,-116.2,180.0,bottom
C16,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.11,-101.63,315.0,bottom
C17,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.9,-114.2,135.0,top
C18,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.9,-100.3,180.0,top
C19,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.9,-97.6,180.0,top
C2,8.2pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,108.275,-121.45,-90.0,top
C20,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.6,-107.7,180.0,top
C21,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.962501,-104.1,0.0,top
C22,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.50988,-102.00988,-45.0,top
C23,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.962501,-104.2,180.0,top
C24,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.8,-110.9,180.0,top
C25,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.4,-97.9,90.0,top
C26,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.2,-104.937499,90.0,top
C27,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.7,-100.3,45.0,top
C28,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.55,-97.7,0.0,top
C29,15pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.0,-117.9,-90.0,top
C3,9.1pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.95,-121.375,-90.0,top
C30,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.5475,-88.32,180.0,top
C31,15pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.1,-117.862501,-90.0,top
C32,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.8,-89.1,45.0,top
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.44,-120.5,0.0,bottom
C5,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.5225,-119.69,0.0,top
C6,120pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.0125,-123.85,180.0,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.58012,-120.71988,135.0,bottom
C8,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.5,-127.1,0.0,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.437499,-125.55,180.0,bottom
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.225,-111.1,0.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,105.175,-113.2,0.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,126.975,-109.4,0.0,top
J1,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,136.025,-122.77,0.0,top
J2,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,131.12,-126.15,90.0,top
J3,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,136.0,-116.13,0.0,top
J4,Conn_Coaxial,SMA_Amphenol_901-144_Vertical,98.1,-123.85,0.0,top
J5,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,134.13,-87.8,-90.0,top
J6,USB_B_Micro,MICRO-USB-SMD_MICRO-USB-18,112.419999,-89.7325,180.0,top
J7,Conn_01x09_Pin,PinSocket_1x09_P2.54mm_Vertical,96.0,-107.680001,0.0,top
L1,270nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,114.925,-121.450001,-90.0,top
L2,11nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,112.275,-125.35,0.0,top
L3,24nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,110.699999,-123.85,180.0,top
L4,39nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,107.375,-123.85,180.0,top
L5,24nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,104.075,-123.85,180.0,top
L6,4.7uH,IND-SMD_L3.3-W3.0,131.0,-116.8,180.0,top
R1,50,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.85,-126.825,0.0,top
R10,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.2,-107.3,0.0,top
R11,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.85,-115.35,90.0,top
R12,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.5,-118.2,180.0,top
R13,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.5,-99.0875,90.0,bottom
R14,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,123.3,-109.8,90.0,bottom
R15,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.1,-114.0,-90.0,top
R16,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.54,-92.98,-90.0,top
R17,DNF,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,98.49,-103.0075,90.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.0625,-88.4,0.0,top
