Designator,Mid X,Mid Y,Rotation,Layer
AE2,132.0,-55.2,180.0,top
C1,143.8,-105.6,0.0,top
C10,153.925,-102.2,0.0,top
C11,145.75,-91.65,90.0,top
C12,153.925,-100.6,0.0,top
C13,153.9375,-103.8,0.0,top
C14,132.1375,-72.9,0.0,top
C2,144.7,-111.6375,90.0,top
C27,148.2,-73.15,270.0,top
C28,144.9,-73.15,270.0,top
C29,145.1175,-57.25,180.0,top
C3,141.15,-108.2375,270.0,top
C32,135.6625,-77.2,0.0,top
C33,133.6125,-81.3,0.0,top
C36,137.1,-83.05,180.0,top
C37,137.1,-89.05,0.0,top
C4,142.85,-101.0,270.0,top
C43,155.8,-80.8,90.0,top
C44,142.5,-75.5,270.0,top
C45,153.0625,-80.0,180.0,top
C46,139.65,-78.2375,270.0,top
C47,140.15,-87.75,90.0,top
C48,148.5,-90.0,90.0,top
C5,155.0,-106.8,180.0,top
C6,144.7,-101.0,270.0,top
C7,141.25,-101.0,270.0,top
C8,149.6,-95.65,0.0,top
C9,148.2,-92.55,0.0,top
D1,129.175,-62.725,270.0,top
D2,132.5,-62.725,270.0,top
D3,135.8,-62.675,270.0,top
J1,154.33,-71.9,180.0,top
J2,129.75,-97.005,180.0,top
J3,152.755,-110.75,270.0,top
J4,132.46,-107.64,0.0,top
L1,147.375,-100.1,180.0,top
L2,143.8,-103.5,0.0,top
L3,144.7,-108.175,270.0,top
L4,142.075,-110.8,180.0,top
L5,138.675,-110.8,180.0,top
L6,153.095,-92.8,0.0,top
L8,143.1175,-56.65,270.0,top
L9,147.1175,-56.65,270.0,top
R1,140.3,-104.5,0.0,top
R10,129.2,-66.575,270.0,top
R11,132.5,-66.575,270.0,top
R12,135.8,-66.55,270.0,top
R13,136.25,-70.25,270.0,top
R14,131.45,-75.3,180.0,top
R18,139.0,-72.75,180.0,top
R2,142.4,-72.6,0.0,top
R3,151.2,-101.6,270.0,top
R4,151.2,-105.3125,270.0,top
R5,153.8,-89.0,0.0,top
R6,145.95,-75.65,0.0,top
R9,134.55,-70.2625,90.0,top
SW4,154.0,-85.33,90.0,top
U1,135.625,-73.775,0.0,top
U2,145.2,-96.4,90.0,top
U3,153.125,-97.6,90.0,top
U4,143.8,-65.4,180.0,top
U7,145.8375,-82.75,270.0,top
Y1,136.55,-80.0,90.0,top
Y2,137.1,-86.05,90.0,top
Y3,138.95,-96.05,0.0,top
